Round,Execution_Time,Communication_Bits,Latency,Throughput
55,746.8268387317657,1239419232,13.578669795123014,0.07364491626117643
56,760.8738334178925,1261928560,13.587032739605222,0.07359958713318412
57,774.9211640357971,1284403720,13.595108140978898,0.07355586948115268
58,788.9951565265656,1307827768,13.603364767699405,0.07351122439754436
59,803.064626455307,1332322352,13.611264855174696,0.07346855789231245
60,815.1194260120392,1355073824,13.58532376686732,0.07360884563081657
61,829.1683809757233,1371483680,13.592924278290546,0.07356768709416812
62,841.2145028114319,1387031808,13.56797585179729,0.073702961364538
63,855.2820417881012,1401632088,13.575905425207955,0.07365991207799549
64,867.3205306529999,1419289712,13.551883291453123,0.07379048199379626
65,881.3740158081055,1441977480,13.559600243201622,0.07374848683325823
66,893.4138326644897,1464433224,13.536573222189238,0.07387394014615113
67,909.469081401825,1488538120,13.574165394057088,0.07366935431903684
68,921.5152673721313,1513069144,13.551695108413696,0.07379150667130495
69,935.5701923370361,1529915360,13.558988294739654,0.07375181527282239
70,947.6088607311249,1545392104,13.53726943901607,0.07387014083636967
71,959.6661400794983,1560794768,13.516424508161947,0.07398406282638918
72,971.705459356308,1577585912,13.4959091577265,0.07409652720042897
73,983.7601900100708,1602030736,13.476166986439326,0.07420507634005061
74,997.8070125579834,1624609768,13.483878548080856,0.07416263773321577
75,1013.8586523532867,1648620664,13.51811536471049,0.07397480884136666
76,1027.9022901058197,1671171120,13.525030132971311,0.07393698869196605
77,1041.959080696106,1695769712,13.53193611293644,0.07389925518817715
78,1056.0130784511566,1718361952,13.538629210912264,0.0738627215814427
79,1070.0536396503448,1740271400,13.544982780384112,0.073828074661579
80,1084.1107623577118,1755920824,13.551384529471397,0.07379319787031438
81,1100.1637079715729,1772668832,13.582267999649048,0.07362540630370708
82,1114.2227380275726,1790234200,13.58808217106796,0.07359390290774233
83,1128.2648479938507,1806326000,13.593552385468081,0.07356428780669799
84,1142.3243281841278,1821863392,13.599099145049141,0.07353428262665898
85,1156.3689703941345,1836649536,13.604340828166288,0.07350595024270563
86,1170.4215528964996,1854377520,13.609552940656972,0.07347779933407035
87,1186.4919838905334,1870782120,13.637838895293488,0.07332540057685437
88,1200.5307202339172,1886175344,13.642394548112696,0.07330091476780673
89,1214.5871465206146,1901641080,13.647046590119265,0.07327592775450917
90,1228.6408116817474,1919159672,13.651564574241638,0.07325167709251752
91,1242.688717365265,1934386888,13.655919971046867,0.07322831432230045
92,1258.7430684566498,1950805480,13.681989874528801,0.07308878380780408
93,1274.8031294345856,1967297144,13.707560531554684,0.0729524409319958
94,1288.8537633419037,1984627352,13.711210248318125,0.07293302209574565
95,1302.9005556106567,2000156624,13.714742690638491,0.07291423707734504
96,1316.938101530075,2023141760,13.718105224271616,0.07289636459637935
97,1331.0049903392792,2045065488,13.721700931332775,0.07287726244758426
98,1345.0475854873657,2069840216,13.724975362115977,0.07285987578238029
99,1361.089313030243,2093354600,13.748376899295383,0.07273585873625933
100,1375.1475870609283,2116224784,13.751475870609283,0.07271946730730752
